Step: 5062656   Mean reward: 27.1875    Mean validation reward: 26.4375
Step: 5079040   Mean reward: 26.125     Mean validation reward: 26.390625
Step: 5095424   Mean reward: 26.265625  Mean validation reward: 26.03125
Step: 5111808   Mean reward: 26.546875  Mean validation reward: 25.21875
Step: 5128192   Mean reward: 25.640625  Mean validation reward: 26.0
Step: 5144576   Mean reward: 25.71875   Mean validation reward: 24.921875
Step: 5160960   Mean reward: 26.390625  Mean validation reward: 25.5
Step: 5177344   Mean reward: 26.90625   Mean validation reward: 27.0
Step: 5193728   Mean reward: 25.953125  Mean validation reward: 25.484375
Step: 5210112   Mean reward: 25.515625  Mean validation reward: 26.9375
Step: 5226496   Mean reward: 24.34375   Mean validation reward: 26.609375
Step: 5242880   Mean reward: 25.84375   Mean validation reward: 26.359375
Step: 5259264   Mean reward: 25.375     Mean validation reward: 24.71875
Step: 5275648   Mean reward: 25.40625   Mean validation reward: 26.5625
Step: 5292032   Mean reward: 26.703125  Mean validation reward: 26.96875
Step: 5308416   Mean reward: 25.9375    Mean validation reward: 24.9375
Step: 5324800   Mean reward: 26.546875  Mean validation reward: 26.09375
Step: 5341184   Mean reward: 26.765625  Mean validation reward: 26.203125
Step: 5357568   Mean reward: 24.890625  Mean validation reward: 25.828125
Step: 5373952   Mean reward: 25.453125  Mean validation reward: 23.921875
Step: 5390336   Mean reward: 25.828125  Mean validation reward: 25.703125
Step: 5406720   Mean reward: 26.265625  Mean validation reward: 25.25
Step: 5423104   Mean reward: 25.640625  Mean validation reward: 25.25
Step: 5439488   Mean reward: 26.4375    Mean validation reward: 25.859375
Step: 5455872   Mean reward: 26.84375   Mean validation reward: 25.875
Step: 5472256   Mean reward: 26.125     Mean validation reward: 25.171875
Step: 5488640   Mean reward: 26.703125  Mean validation reward: 25.890625
Step: 5505024   Mean reward: 25.984375  Mean validation reward: 26.25
Step: 5521408   Mean reward: 27.21875   Mean validation reward: 24.046875
Step: 5537792   Mean reward: 26.796875  Mean validation reward: 25.328125
Step: 5554176   Mean reward: 27.140625  Mean validation reward: 24.96875
Step: 5570560   Mean reward: 25.984375  Mean validation reward: 25.984375
Step: 5586944   Mean reward: 26.015625  Mean validation reward: 25.890625
Step: 5603328   Mean reward: 26.5       Mean validation reward: 25.015625
Step: 5619712   Mean reward: 26.296875  Mean validation reward: 25.9375
Step: 5636096   Mean reward: 27.203125  Mean validation reward: 27.6875
Step: 5652480   Mean reward: 25.1875    Mean validation reward: 26.6875
Step: 5668864   Mean reward: 26.25      Mean validation reward: 25.984375
Step: 5685248   Mean reward: 26.234375  Mean validation reward: 25.90625
Step: 5701632   Mean reward: 25.765625  Mean validation reward: 25.328125
Step: 5718016   Mean reward: 25.359375  Mean validation reward: 25.046875
Step: 5734400   Mean reward: 27.171875  Mean validation reward: 25.34375
Step: 5750784   Mean reward: 25.921875  Mean validation reward: 25.421875
Step: 5767168   Mean reward: 25.6875    Mean validation reward: 26.78125
Step: 5783552   Mean reward: 25.671875  Mean validation reward: 25.8125
Step: 5799936   Mean reward: 26.78125   Mean validation reward: 25.484375
Step: 5816320   Mean reward: 26.5625    Mean validation reward: 26.9375
Step: 5832704   Mean reward: 27.0       Mean validation reward: 25.703125
Step: 5849088   Mean reward: 26.40625   Mean validation reward: 25.921875
Step: 5865472   Mean reward: 27.265625  Mean validation reward: 26.859375
Step: 5881856   Mean reward: 25.375     Mean validation reward: 26.3125
